Estrategia,Inicio,Fin,Días,Años,CAGR (%),Volatilidad (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Calmar Ratio,Nº Rebalanceos,Turnover Anual,Costes (% patrimonio),XEON.DE medio (%),Tiempo max riesgo (%),Retorno Total (%),Riqueza Final (EUR)
BL-Omega (nuestra estrategia),2024-01-02,2024-03-28,63,0.235,25.61,5.72,3.169,5.044,-1.28,20.012,87,39.143,1.613,39.0,0.0,5.5,10534818.0
Buy & Hold (IWDA.L),2024-01-02,2024-03-28,63,0.235,48.15,9.81,3.495,6.175,-1.55,31.16,0,0.0,0.0,N/A,N/A,9.7,10969677.0
