Ticker,Composite_Score,Prior_pi,View_Q,Confidence,mu_BL
IWDA.L,-0.001159,0.488041,0.487619,0.3004,0.482027
VGK,-0.13471,0.788076,0.739041,0.3472,0.810786
EWJ,-0.136462,0.509582,0.459909,0.3478,0.532619
IUSN.DE,-0.268875,0.543626,0.445756,0.3942,0.52047
IEMA.L,-0.001981,0.576879,0.576158,0.3007,0.59326
MCHI,0.50712,0.534893,0.719485,0.4777,0.597751
EWZ,-0.417217,1.373829,1.221962,0.4462,1.380204
INDA,-0.236466,0.922717,0.836643,0.3828,0.928759
EWT,0.501821,0.620218,0.802881,0.4758,0.687432
EWY,0.045219,0.88129,0.89775,0.3158,0.937806
XLY,-0.154246,0.749957,0.693812,0.354,0.783202
XLC,0.191437,0.67238,0.742064,0.3671,0.719767
XLF,-0.018351,0.979399,0.972719,0.3064,0.980482
KBE,-0.269988,1.013361,0.915085,0.3946,0.976903
XLE,-0.957449,1.151479,0.802967,0.6354,1.078587
XOP,-1.71254,1.063193,0.439828,0.9,0.861869
XLI,-0.178519,0.894338,0.829357,0.3625,0.898059
IYT,-0.574599,0.860511,0.651357,0.5013,0.850078
XLB,-0.307865,0.829277,0.717214,0.4079,0.834305
ITB,0.221767,1.062567,1.14329,0.3777,1.060611
XLV,0.341493,0.659998,0.784302,0.4196,0.700783
XBI,0.730808,0.693445,0.959459,0.556,0.757621
XLP,-0.061,0.581515,0.559312,0.3214,0.618239
XLU,0.06374,0.784813,0.808015,0.3223,0.821072
XLK,0.920663,0.852334,1.187455,0.6226,0.927251
SOXX,0.799061,0.927679,1.218537,0.58,1.011852
IGV,0.651679,0.75187,0.989082,0.5283,0.820115
CIBR,0.087695,0.682375,0.714296,0.3307,0.717866
BOTZ,0.350045,0.844139,0.971555,0.4226,0.895438
VNQ,-0.195606,0.910937,0.839736,0.3685,0.930329
LIT,1.177936,0.876833,1.305602,0.7127,0.949359
GLD,0.141219,0.102226,0.15363,0.3495,0.121104
SLV,-0.694417,0.323428,0.07066,0.5433,0.295977
DBA,0.153252,0.154132,0.209916,0.3537,0.169471
COPX,-0.489246,1.092681,0.914596,0.4714,1.071641
TLT,0.410773,-0.175581,-0.02606,0.4439,-0.127612
IEF,0.329187,-0.05843,0.061394,0.4153,-0.022377
TIP,0.250706,0.042575,0.133832,0.3878,0.067837
HYG,0.124287,0.381307,0.426547,0.3435,0.393102
LQD,0.253018,0.218038,0.310136,0.3886,0.273155
EMB,0.092847,0.421478,0.455275,0.3325,0.421475
