Ticker,Composite_Score,Prior_pi,View_Q,Confidence,mu_BL
IWDA.L,-0.114281,0.069552,0.037554,0.3321,0.040639
VGK,-0.133453,0.096408,0.059041,0.3375,0.07721
EWJ,-0.034292,0.109793,0.100191,0.3096,0.090292
IUSN.DE,0.01917,0.057953,0.06332,0.3054,0.030681
IEMA.L,0.125666,0.108495,0.143682,0.3353,0.138419
MCHI,-0.410811,0.076375,-0.038652,0.4153,0.070428
EWZ,0.220885,0.103624,0.165472,0.362,0.157659
INDA,-0.456324,0.078353,-0.049418,0.4281,0.023372
EWT,0.020629,0.121198,0.126974,0.3058,0.117988
EWY,1.274203,0.189176,0.545953,0.6576,0.303428
XLY,-0.38888,0.084354,-0.024533,0.4091,-0.012985
XLC,-0.216494,0.058366,-0.002252,0.3608,0.006202
XLF,-0.537149,0.057697,-0.092705,0.4507,-0.045061
KBE,-0.506055,0.06152,-0.080176,0.442,-0.025574
XLE,0.377452,0.02361,0.129297,0.4059,0.071465
XOP,0.187912,0.016921,0.069537,0.3527,0.031136
XLI,0.05287,0.086302,0.101106,0.3148,0.061505
IYT,-0.17969,0.077217,0.026904,0.3504,0.025148
XLB,-0.088775,0.075688,0.050831,0.3249,0.084027
ITB,-0.650201,0.090241,-0.091816,0.4825,0.041705
XLV,0.064904,0.054085,0.072258,0.3182,0.049356
XBI,0.465693,0.092254,0.222648,0.4307,0.087466
XLP,0.125485,0.041763,0.076899,0.3352,0.065769
XLU,0.045867,0.0441,0.056943,0.3129,0.047069
XLK,-0.288445,0.090317,0.009553,0.3809,0.016454
SOXX,0.5614,0.130135,0.287327,0.4575,0.13839
IGV,-1.210319,0.063953,-0.274936,0.6397,-0.125363
CIBR,-0.805875,0.064733,-0.160912,0.5262,-0.104151
BOTZ,-0.218361,0.117188,0.056047,0.3613,0.050907
VNQ,-0.107443,0.053187,0.023103,0.3302,0.01408
LIT,0.638607,0.101218,0.280028,0.4792,0.176259
GLD,0.936098,0.075861,0.337968,0.5627,0.258835
SLV,2.138017,0.130852,0.729496,0.9,0.442058
DBA,-0.126893,0.025998,-0.009533,0.3356,0.019477
COPX,1.013636,0.170672,0.454491,0.5845,0.359389
TLT,-0.122337,0.03708,0.002825,0.3343,0.019901
IEF,-0.096266,0.033152,0.006197,0.327,0.025812
TIP,-0.112645,0.031006,-0.000534,0.3316,0.020143
HYG,-0.131505,0.041992,0.005171,0.3369,0.021653
LQD,-0.135991,0.038462,0.000385,0.3382,0.021174
EMB,-0.083629,0.049314,0.025898,0.3235,0.03302
BITO,-2.059966,0.095412,-0.481378,0.8781,-0.157785
