Date,Strategy,SP500
2020-01-02,100000.0,100000.0
2020-01-03,100000.0,99242.77622539789
2020-01-06,100000.0,99621.38811269894
2020-01-07,100000.0,99341.24019163623
2020-01-08,100000.0,99870.72942484463
2020-01-09,100000.0,100547.90946783613
2020-01-10,100000.0,100258.55142945955
2020-01-13,100000.0,100948.07673014521
2020-01-14,100000.0,100794.15675619668
2020-01-15,100000.0,101021.93241418556
2020-01-16,100000.0,101862.25282758825
2020-01-17,100000.0,102179.31317194796
2020-01-20,100000.0,102179.31317194796
2020-01-21,100000.0,101979.2398199422
2020-01-22,100000.0,101991.58507763635
2020-01-23,100000.0,102108.5823491391
2020-01-24,100000.0,101200.49150777844
2020-01-27,100000.0,99578.29792098048
2020-01-28,100000.0,100621.78571017405
2020-01-29,100000.0,100538.67879222469
2020-01-30,100000.0,100864.95953304705
2020-01-31,100000.0,99033.47219778069
2020-02-03,100318.90184019184,99769.130318226
2020-02-04,101403.12603915801,101289.74535670292
2020-02-05,102514.78767759165,102459.43025556431
2020-02-06,102928.99924118599,102804.21346420472
2020-02-07,102288.68644743567,102256.28343807101
2020-02-10,102876.31581271758,103019.66442279701
2020-02-11,103197.36867172798,103198.21323724111
2020-02-12,103471.63152930212,103863.08913913362
2020-02-13,103525.47661588764,103752.27991520113
2020-02-14,103641.10927054357,103918.49375109987
2020-02-17,103663.8430213747,103918.49375109987
2020-02-18,103497.11003525337,103650.6910877313
2020-02-19,104360.20020911169,104146.24885079116
2020-02-20,103856.02417432133,103718.39984079654
2020-02-21,103370.24073040452,102650.2832111074
2020-02-24,100865.88913547959,99245.83941173666
2020-02-25,98312.91879936027,96238.52024663378
2020-02-26,98220.62868176762,95884.51664153072
2020-02-27,95181.80036603275,91578.17004836956
2020-02-28,93434.92402374711,91193.40095094462
2020-03-02,97311.44082507296,95142.68075266395
2020-03-03,96135.47685290455,92418.50074092104
2020-03-04,100472.86266548655,96303.1349759139
2020-03-05,98041.26498679524,93101.83799403645
2020-03-06,96188.80677610278,91562.78216263422
2020-03-09,89610.75944712931,84412.2464956326
2020-03-10,92781.76999998104,88780.12407343753
2020-03-11,87705.52024177037,84452.25294271471
2020-03-12,78854.46057600164,76372.08647806759
2020-03-13,83520.3048959282,82900.83643489516
2020-03-16,72698.21134849358,73829.52360668193
2020-03-17,76613.74375234703,77815.74152957024
2020-03-18,72515.59622518509,73875.71296175993
2020-03-19,72705.02839262433,74032.68584289843
2020-03-20,69907.04518707698,70842.30017745923
2020-03-23,68280.62377777914,69030.99081126331
2020-03-24,75447.41748529462,75285.44168268843
2020-03-25,77390.89410596728,76412.46811408046
2020-03-26,81623.53334155114,80874.17890159483
2020-03-27,79365.17864667642,78465.28094147136
2020-03-30,81141.78511518915,81013.49734469029
2020-03-31,79027.5564871011,79805.9646199922
2020-04-01,77606.77868554651,76214.30668374924
2020-04-02,78143.08887968477,77972.99194772601
2020-04-03,77702.35487568768,76845.93981846201
2020-04-06,79589.31021089794,82007.39852013151
2020-04-07,79798.58242236581,82091.01939552027
2020-04-08,80569.49293888044,84846.65874212823
2020-04-09,81073.7024257096,86137.80206306628
2020-04-13,80725.18270563209,85351.34952888606
2020-04-14,81608.1257895825,87868.62055467932
2020-04-15,80866.68516364817,86001.59306247914
2020-04-16,81069.87559364137,86416.47492627795
2020-04-17,81705.43909034907,88751.04436151683
2020-04-20,81304.18090764794,87187.42136451177
2020-04-21,80250.31950376485,84540.1499439992
2020-04-22,81134.3929539954,86416.47492627795
2020-04-23,81070.9020824373,86410.2765995589
2020-04-24,81278.31475931304,87614.72557962064
2020-04-27,81820.62376500943,88877.99184904617
2020-04-28,82084.99721437591,88469.25177664807
2020-04-29,82929.96129244386,90785.28790662257
2020-04-30,82306.72343196449,89940.01294350416
2020-05-01,81502.18556155739,87558.9817557444
2020-05-04,81574.60671049374,87800.48007736499
2020-05-05,81956.6140905585,88611.720778847
2020-05-06,81798.42580919756,88011.03816113429
2020-05-07,82293.83079249476,89073.05925559226
2020-05-08,82816.11121850648,90546.86305048954
2020-05-11,82862.25605916198,90565.41691405152
2020-05-12,82387.50784856243,88760.36754946738
2020-05-13,82112.76681977097,87190.56678404084
2020-05-14,82224.6087251868,88233.97234004411
2020-05-15,82267.2590052752,88639.57727206193
2020-05-18,83181.2472894236,91339.52933011198
2020-05-19,82961.93410160902,90401.35142024943
2020-05-20,83437.71375384054,91937.09736574198
2020-05-21,82962.7522510271,91302.34964894652
2020-05-22,82833.74923042304,91475.73833069913
2020-05-25,82835.07036362952,91475.73833069913
2020-05-26,83352.30261412662,92602.76476209116
2020-05-27,83498.70782387783,93980.63326135188
2020-05-28,83646.29527838781,93807.2137421529
2020-05-29,83963.43690953025,94225.24616505517
2020-06-01,84441.89473232994,94606.04751104803
2020-06-02,84851.27082947736,95389.40088186873
2020-06-03,85238.68018003972,96658.88603631088
2020-06-04,84972.25342781165,96404.9910612522
2020-06-05,85793.32189929516,98875.81061367341
2020-06-08,86214.97662469288,100070.96724323097
2020-06-09,86050.0082500155,99324.7421578318
2020-06-10,86377.02386768562,98770.54185093754
2020-06-11,83921.90589305563,93076.49989227451
2020-06-12,84388.3533281715,94191.12967022846
2020-06-15,84486.30495040916,95070.500569876
2020-06-16,85339.45920047018,96900.38435793147
2020-06-17,85425.8400519813,96497.88372884756
2020-06-18,85515.57338884368,96535.0120142691
2020-06-19,85524.29931020527,95983.33009882785
2020-06-22,85924.02061740775,96599.08194866346
2020-06-23,86250.18735833495,97043.81960011645
2020-06-24,85296.064902012,94568.34359329438
2020-06-25,85566.16132327719,95582.16575908636
2020-06-26,84909.30606175061,93311.93351611031
2020-06-29,85405.81762612028,94683.40838482502
2020-06-30,85886.24921405346,95896.27598774397
2020-07-01,86192.86231719985,96568.00808187794
2020-07-02,86579.8827619724,97099.77928611723
2020-07-03,86556.91199702742,97099.77928611723
2020-07-06,87536.67124100507,98598.74643724703
2020-07-07,87443.24593416946,97581.81996852113
2020-07-08,87867.77415103438,98328.16840370576
2020-07-09,87834.50923922069,97768.40707731729
2020-07-10,88092.5414034827,98766.6974492909
2020-07-13,87923.19653999343,97911.45171184832
2020-07-14,88204.30727810149,99180.32011736321
2020-07-15,88619.22647280035,100091.504982509
2020-07-16,88093.47730115769,99761.84240173546
2020-07-17,88574.24761560778,100051.03597373143
2020-07-20,89000.69076334107,100859.62465482618
2020-07-21,89142.22079996874,101074.20188577152
2020-07-22,89531.64895648482,101649.5464017223
2020-07-23,89394.34849032984,100436.67879880335
2020-07-24,88813.95592256551,99789.8530821822
2020-07-27,89452.01117430301,100517.55514146575
2020-07-28,89407.05081618985,99880.03205449758
2020-07-29,90070.94082320889,101108.4211720861
2020-07-30,89923.3834427786,100747.67444537824
2020-07-31,90096.39062137702,101543.80479814218
2020-08-03,91324.71806366608,102249.74589944197
2020-08-04,91773.68908189127,102644.71191246441
2020-08-05,92260.87508084471,103282.21444113502
2020-08-06,92290.8676154439,103972.62374861643
2020-08-07,91941.0084183825,104047.25036881586
2020-08-10,91965.72981142768,104358.25629453955
2020-08-11,91759.26204978512,103496.81223037792
2020-08-12,92875.91742107423,104939.80941635816
2020-08-13,92657.72515758945,104750.07688803293
2020-08-14,92477.60263510463,104753.20174926442
2020-08-17,93190.32575013334,105085.95835382311
2020-08-18,93238.70504118479,105312.97335480168
2020-08-19,92700.46672274149,104874.48542581168
2020-08-20,92455.68354535343,105201.03342450253
2020-08-21,92695.01176953556,105574.21792124363
2020-08-24,93423.81083146312,106644.01005218519
2020-08-25,93750.70402566173,107017.17399062871
2020-08-26,94025.32236172562,108090.10126195053
2020-08-27,94076.47499109493,108326.43945087965
2020-08-28,94742.11301351772,109026.17194631159
2020-08-31,94573.82124829388,108631.20593328915
2020-09-01,95500.59764702199,109654.36156618045
2020-09-02,96349.25954855766,111240.43422413808
2020-09-03,93857.91592461785,107412.11944535357
2020-09-04,93244.53375765025,106535.14358737359
2020-09-07,93384.0864587076,106535.14358737359
2020-09-08,91594.22855387047,103624.3250710906
2020-09-09,92794.298281436,105670.62605772441
2020-09-10,91968.02338533913,103835.77744080444
2020-09-11,92205.57536611104,103888.64310302009
2020-09-14,93526.17043778028,105256.99311050332
2020-09-15,94377.9914769542,105788.82598963533
2020-09-16,94248.02116325972,105368.94331995126
2020-09-17,93989.87753687218,104442.2266609871
2020-09-18,93542.89102659539,103239.79239408777
2020-09-21,92493.69530211575,102090.77886343862
2020-09-22,92819.60073654137,103130.52504247344
2020-09-23,91260.4141434422,100738.83437742075
2020-09-24,91129.93533462787,101007.32574375809
2020-09-25,91839.71833475964,102640.31243678324
2020-09-28,92802.68100237341,104345.11954238874
2020-09-29,93114.11804399804,103776.85735995276
2020-09-30,93900.35830861032,104563.67480391495
2020-10-01,95071.6544898334,105234.97517379984
2020-10-02,94387.82977741209,104235.81107417928
2020-10-05,95705.18124769538,106084.22816749914
2020-10-06,94570.54960805303,104576.18452798971
2020-10-07,95712.63557689846,106396.47787022615
2020-10-08,96326.35436504544,107339.41502597746
2020-10-09,98219.76873396564,108297.97648788623
2020-10-12,98950.04868365292,110040.26136997205
2020-10-13,98090.849718409,109322.10863991237
