Date,IWDA.L,IEMA.L,IUSN.DE,XLK,XLF,XLV,XLE,XLP,XLI,XLU,SOXX,CIBR,BOTZ,LIT,ITB,GLD,SLV,DBA,TLT,IEF,XEON.DE
2018-04-26,54.11000061035156,35.80500030517578,4.227499961853027,30.554229736328125,23.747854232788086,72.62097930908203,26.34010124206543,40.70108413696289,64.09239196777344,19.900238037109375,52.94536590576172,25.00991439819336,22.53942108154297,30.20161247253418,37.00388717651367,124.97000122070312,15.579999923706055,16.306482315063477,94.46791076660156,84.24323272705078,137.8249969482422
2018-04-27,54.36000061035156,36.125,4.23199987411499,30.498687744140625,23.782201766967773,72.91773986816406,26.061214447021484,40.91869354248047,63.9613151550293,20.10239601135254,52.575538635253906,24.78046417236328,22.289627075195312,30.357189178466797,37.09817886352539,125.5,15.569999694824219,16.521381378173828,95.19656372070312,84.38441467285156,137.82400512695312
2018-04-30,54.400001525878906,36.18000030517578,4.248499870300293,30.299650192260742,23.56756019592285,71.80049133300781,26.057668685913086,40.660789489746094,63.11363983154297,20.044082641601562,51.99921417236328,24.72311019897461,22.19354820251465,30.24736785888672,36.24003601074219,124.58999633789062,15.380000114440918,16.547168731689453,95.36470794677734,84.47583770751953,137.83099365234375
2018-05-01,53.7599983215332,35.435001373291016,4.248499870300293,30.67919921875,23.576143264770508,71.76558685302734,25.898801803588867,40.30615234375,62.825225830078125,19.981882095336914,52.85293197631836,24.79958724975586,22.135902404785156,30.293128967285156,36.711544036865234,123.70999908447266,15.239999771118164,16.744874954223633,95.021240234375,84.3434829711914,137.83099365234375
2018-05-02,54.06999969482422,35.720001220703125,4.2829999923706055,30.646812438964844,23.309988021850586,70.77925872802734,26.004722595214844,39.51631546020508,62.27466583251953,19.962438583374023,52.61867141723633,24.80914878845215,22.068649291992188,30.19245719909668,36.23060607910156,123.6500015258789,15.420000076293945,16.607341766357422,94.91693115234375,84.36015319824219,137.81500244140625
2018-05-03,53.34000015258789,34.94499969482422,4.249000072479248,30.716238021850586,23.112518310546875,70.14208221435547,25.944700241088867,39.47603225708008,62.42324447631836,19.935226440429688,52.93306350708008,24.751779556274414,22.116689682006836,30.357189178466797,36.53238296508789,124.27999877929688,15.460000038146973,16.796451568603516,95.34222412109375,84.57650756835938,137.8070068359375
2018-05-04,54.150001525878906,35.43000030517578,4.309500217437744,31.299455642700195,23.41301727294922,70.70071411132812,26.07179832458496,40.048255920410156,63.148597717285156,20.024635314941406,54.17509078979492,25.00991439819336,22.318445205688477,30.741579055786133,36.91900634765625,124.54000091552734,15.539999961853027,16.607341766357422,95.4866714477539,84.58486938476562,137.82000732421875
2018-05-07,54.150001525878906,35.43000030517578,4.347499847412109,31.517009735107422,23.56756019592285,70.59596252441406,26.107099533081055,39.79840850830078,63.56804656982422,19.919679641723633,54.69902801513672,25.25848960876465,22.472171783447266,30.897157669067383,36.91900634765625,124.56999969482422,15.520000457763672,16.461210250854492,95.33419799804688,84.54320526123047,137.80999755859375
2018-05-08,54.33000183105469,35.310001373291016,4.372499942779541,31.586429595947266,23.73068618774414,70.06354522705078,26.311859130859375,39.63722610473633,64.02252197265625,19.422073364257812,55.02262496948242,25.507055282592773,22.635498046875,30.823942184448242,37.069889068603516,124.58999633789062,15.510000228881836,16.49559211730957,95.24591064453125,84.4017333984375,137.82000732421875
2018-05-09,54.5099983215332,35.46500015258789,4.402500152587891,31.975242614746094,24.082693099975586,70.46505737304688,26.848474502563477,39.69363784790039,64.71289825439453,19.286014556884766,55.860931396484375,25.88947105407715,22.654714584350586,30.90630531311035,36.39091491699219,124.33000183105469,15.529999732971191,16.366655349731445,94.6761703491211,84.21031951904297,137.80499267578125
2018-05-10,55.130001068115234,36.349998474121094,4.422500133514404,32.39183807373047,24.28016471862793,71.4076919555664,27.049711227416992,39.927371978759766,65.14984893798828,19.558137893676758,56.87797927856445,26.12847900390625,22.86608123779297,31.080202102661133,36.55122375488281,125.18000030517578,15.739999771118164,16.375247955322266,95.43856811523438,84.38511657714844,137.80499267578125
2018-05-11,55.31999969482422,36.20000076293945,4.427499771118164,32.34553909301758,24.26299285888672,72.47260284423828,27.08854103088379,39.927371978759766,65.28965759277344,19.58534812927246,56.4619026184082,25.440135955810547,22.971765518188477,31.18087387084961,36.749263763427734,125.0,15.699999809265137,16.28929328918457,95.67926788330078,84.3934326171875,137.79400634765625
2018-05-14,55.56999969482422,36.45000076293945,4.4105000495910645,32.34090805053711,24.24582290649414,72.95266723632812,27.275651931762695,39.911251068115234,65.17605590820312,19.511486053466797,57.152278900146484,25.344532012939453,23.029409408569336,31.244937896728516,36.53238296508789,124.48999786376953,15.5600004196167,16.203330993652344,95.17371368408203,84.21031951904297,137.7969970703125
2018-05-15,55.099998474121094,35.56999969482422,4.41349983215332,32.03543472290039,24.202892303466797,72.00996398925781,27.282712936401367,39.758113861083984,64.95755767822266,19.34821319580078,56.53280258178711,25.296730041503906,22.5682430267334,31.0618896484375,35.14613342285156,122.4800033569336,15.329999923706055,16.117372512817383,94.09033966064453,83.74432373046875,137.79299926757812
