Date,Portfolio Value,Rebalance,Trade Cost EUR,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2022-04-29,135190.39,True,88.11,"IWDA.L, EWZ, EWT, XLY, XLE, XOP, XLI, IYT, XLB, XLV, XLP, XLU, XLK, SOXX, CIBR, VNQ, GLD, DBA, COPX, HYG",20,0.0,normal,"rebalance: EWT peso=0.1136 fuera de [0.0487, 0.0887]"
2022-05-31,137883.32,True,81.63,"IUSN.DE, EWZ, INDA, EWT, EWY, XLE, XOP, XLB, XLV, XLP, XLU, XLK, CIBR, VNQ, GLD, DBA, COPX, IEF, TIP, HYG",20,0.0,caution,"rebalance: COPX peso=0.0473 fuera de [0.0009, 0.0409]"
2022-06-30,126488.31,True,36.96,"VGK, IUSN.DE, EWZ, INDA, EWT, EWY, XLE, XOP, XLB, XLV, XLP, XLU, CIBR, GLD, DBA, IEF, TIP, HYG, LQD",19,0.005,caution,"rebalance: EWZ peso=0.0616 fuera de [0.0944, 0.1344]"
2022-07-29,132805.27,True,64.82,"EWJ, IUSN.DE, IEMA.L, MCHI, EWZ, INDA, XLE, XOP, XLI, XLV, XLP, XLU, LIT, GLD, DBA, IEF, TIP, HYG, LQD",19,0.0043,normal,"rebalance: EWT peso=0.0261 fuera de [0.0000, 0.0200]"
2022-08-31,132010.09,True,51.99,"IWDA.L, EWJ, IUSN.DE, INDA, XLY, XLE, XOP, XLI, XLV, XLP, XLU, XLK, VNQ, LIT, GLD, DBA, IEF, TIP, HYG, LQD",20,0.0,normal,"rebalance: EWZ peso=0.0822 fuera de [0.0000, 0.0200]"
2022-09-30,121756.63,True,48.73,"IWDA.L, IUSN.DE, IEMA.L, MCHI, INDA, XLY, XLE, XOP, XLI, XLV, XBI, XLP, XLU, LIT, DBA, IEF, TIP, HYG, LQD, EMB",20,0.0,normal,"rebalance: DBA peso=0.0367 fuera de [0.0681, 0.1081]"
2022-10-31,127499.67,True,72.29,"IWDA.L, EWJ, IUSN.DE, IEMA.L, INDA, KBE, XLE, XOP, ITB, XLV, XBI, XLP, LIT, GLD, DBA, IEF, TIP, HYG, LQD, EMB",20,0.0,normal,"rebalance: DBA peso=0.0833 fuera de [0.0265, 0.0665]"
2022-11-30,133650.97,True,73.47,"IWDA.L, IUSN.DE, EWZ, INDA, XLF, KBE, XLE, XOP, XLI, ITB, XLV, XBI, XLP, LIT, DBA, IEF, TIP, HYG, LQD",19,0.0073,caution,"rebalance: DBA peso=0.0447 fuera de [0.0724, 0.1124]"
2022-12-30,127912.89,True,70.04,"IWDA.L, VGK, EWJ, IUSN.DE, INDA, XLF, KBE, XLE, XOP, XLI, IYT, ITB, XLV, XBI, XLP, SLV, IEF, HYG, LQD, EMB",20,0.0,normal,"rebalance: DBA peso=0.0974 fuera de [0.0000, 0.0200]"
2023-01-31,133818.21,True,68.52,"IWDA.L, VGK, EWJ, IEMA.L, XLF, XLE, XLI, XLB, ITB, XLV, XBI, XLP, BOTZ, GLD, SLV, COPX, HYG, LQD, EMB",19,0.0066,normal,"rebalance: BOTZ peso=0.0000 fuera de [0.0205, 0.0605]"
2023-02-28,128965.03,True,53.22,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, EWT, EWY, XLF, XLE, XLI, XLB, ITB, BOTZ, GLD, SLV, COPX, EMB, BITO",18,0.0058,normal,"rebalance: BITO peso=0.0000 fuera de [0.0357, 0.0757]"
2023-03-31,133242.95,True,67.98,"VGK, EWJ, EWT, XLF, XLE, XLI, XLB, ITB, SOXX, BOTZ, GLD, SLV, COPX, BITO",14,0.0118,normal,"rebalance: BITO peso=0.0657 fuera de [0.0743, 0.1143]"
2023-04-28,134626.95,True,66.91,"IWDA.L, VGK, EWJ, MCHI, EWT, EWY, XLC, XLI, IYT, XLB, ITB, XLP, XLK, SOXX, BOTZ, GLD, COPX, BITO",18,0.0158,normal,"rebalance: BOTZ peso=0.0500 fuera de [0.0084, 0.0484]"
2023-05-31,132242.86,True,48.19,"IWDA.L, VGK, EWJ, MCHI, EWT, XLC, XLB, ITB, XLP, XLK, SOXX, IGV, BOTZ, GLD, SLV, DBA, COPX, EMB, BITO",19,0.0071,normal,"rebalance: EWY peso=0.0322 fuera de [0.0000, 0.0200]"
2023-06-30,140445.58,True,57.63,"IWDA.L, VGK, EWJ, EWT, EWY, XLC, ITB, XLK, SOXX, IGV, BOTZ, GLD, DBA, TIP, HYG, BITO",16,0.0127,normal,"rebalance: BITO peso=0.0743 fuera de [0.0879, 0.1279]"
2023-07-31,143895.18,True,77.91,"IWDA.L, VGK, EWJ, EWZ, XLY, XLC, XLI, IYT, ITB, XLK, SOXX, IGV, BOTZ, DBA, BITO",15,0.0,normal,"rebalance: EWJ peso=0.0771 fuera de [0.0354, 0.0754]"
2023-08-31,137734.09,True,46.47,"IWDA.L, EWZ, INDA, EWY, XLY, XLC, XOP, XLI, IYT, ITB, XLP, XLK, SOXX, IGV, BOTZ, DBA, BITO",17,0.0008,normal,"rebalance: BITO peso=0.1005 fuera de [0.0339, 0.0739]"
2023-09-29,132754.29,True,40.12,"IWDA.L, EWZ, INDA, XLY, XLC, XLE, XOP, XLI, IYT, ITB, XLK, SOXX, IGV, CIBR, GLD, SLV, DBA, BITO",18,0.0,normal,"rebalance: BITO peso=0.0575 fuera de [0.0000, 0.0369]"
2023-10-31,129787.08,True,59.76,"IWDA.L, EWJ, EWZ, INDA, XLY, XLC, XLF, XLE, XOP, XLI, ITB, XLK, SOXX, IGV, CIBR, DBA, TIP, HYG, EMB, BITO",20,0.0,normal,"rebalance: BITO peso=0.0222 fuera de [0.0363, 0.0763]"
2023-11-30,140499.46,True,44.95,"IWDA.L, EWJ, EWZ, INDA, XLY, XLC, XLF, XLE, XOP, XLK, SOXX, IGV, CIBR, GLD, DBA, IEF, TIP, HYG, EMB, BITO",20,0.0,normal,"rebalance: BITO peso=0.0562 fuera de [0.0654, 0.1054]"
2023-12-29,147102.79,True,91.17,"IWDA.L, EWZ, INDA, EWT, XLC, XLF, KBE, XOP, XLI, XLB, ITB, XLK, IGV, CIBR, GLD, SLV, DBA, HYG, EMB, BITO",20,0.0,normal,"rebalance: EWJ peso=0.0847 fuera de [0.0000, 0.0200]"
2024-01-31,146425.6,True,62.61,"IWDA.L, IUSN.DE, IEMA.L, EWZ, INDA, EWT, EWY, XLC, XLF, KBE, XLB, ITB, XLK, SOXX, IGV, CIBR, VNQ, GLD, HYG, BITO",20,0.0,normal,"rebalance: DBA peso=0.0275 fuera de [0.0000, 0.0200]"
2024-02-29,156566.35,True,97.13,"IWDA.L, EWJ, EWZ, INDA, XLC, XLF, ITB, XLV, XLK, SOXX, IGV, CIBR, GLD, DBA, IEF, TIP, HYG, LQD, EMB, BITO",20,0.0,normal,"rebalance: BITO peso=0.1210 fuera de [0.0664, 0.1064]"
2024-03-28,162718.86,True,70.3,"IWDA.L, VGK, EWJ, EWZ, INDA, XLC, XLF, XLI, IYT, ITB, XLV, XBI, XLP, XLK, SOXX, CIBR, HYG, EMB, BITO",19,0.0052,normal,"rebalance: DBA peso=0.0386 fuera de [0.0000, 0.0200]"
2024-04-30,154121.1,True,117.05,"IWDA.L, VGK, EWJ, EWT, XLC, XLF, KBE, XLI, XLB, ITB, XBI, SOXX, BOTZ, GLD, DBA, COPX, BITO",17,0.0073,normal,"rebalance: BOTZ peso=0.0000 fuera de [0.0005, 0.0405]"
2024-05-31,161503.15,True,88.3,"IWDA.L, INDA, EWT, XLC, XLF, KBE, XLI, ITB, XBI, XLP, XLU, SOXX, BOTZ, GLD, COPX, BITO",16,0.0005,normal,"rebalance: BOTZ peso=0.0200 fuera de [0.0301, 0.0701]"
2024-06-28,160415.7,True,85.55,"IWDA.L, VGK, INDA, EWT, XLC, XLF, KBE, XLI, XLB, ITB, XBI, XLP, XLU, XLK, SOXX, GLD, SLV, DBA, COPX, BITO",20,0.0,normal,"rebalance: BOTZ peso=0.0504 fuera de [0.0000, 0.0200]"
2024-07-31,166729.4,True,66.21,"IWDA.L, VGK, IEMA.L, MCHI, INDA, EWT, XLC, XLF, KBE, XLE, XLI, XLP, XLU, XLK, SOXX, GLD, SLV, DBA, COPX, BITO",20,0.0,normal,"rebalance: IEMA.L peso=0.0000 fuera de [0.0665, 0.1065]"
2024-08-30,168266.0,True,98.23,"IWDA.L, IEMA.L, INDA, EWT, XLC, XLF, KBE, XLI, XLB, ITB, XBI, XLP, XLU, VNQ, GLD, SLV, COPX, HYG, EMB, BITO",20,0.0,normal,"rebalance: BITO peso=0.0766 fuera de [0.0284, 0.0684]"
2024-09-30,173427.89,True,68.03,"IWDA.L, VGK, IEMA.L, MCHI, INDA, EWT, XLC, XLF, KBE, XLI, ITB, XLV, XLP, XLU, VNQ, GLD, SLV, DBA, COPX, EMB",20,0.0,normal,"rebalance: BITO peso=0.0506 fuera de [0.0000, 0.0200]"
2024-10-31,169306.82,True,61.65,"IWDA.L, IEMA.L, MCHI, INDA, EWT, XLY, XLC, XLF, KBE, XLI, ITB, XLP, XLU, XLK, IGV, VNQ, GLD, SLV, HYG, EMB",20,0.0,normal,"rebalance: DBA peso=0.0244 fuera de [0.0000, 0.0200]"
2024-11-29,176798.19,True,55.5,"IWDA.L, IEMA.L, MCHI, EWT, XLY, XLC, XLF, KBE, XLI, ITB, XLU, XLK, IGV, CIBR, VNQ, GLD, SLV, HYG, BITO",19,0.003,normal,"rebalance: BITO peso=0.0000 fuera de [0.0185, 0.0585]"
2024-12-31,169685.0,True,85.92,"IWDA.L, IUSN.DE, MCHI, XLY, XLC, XLF, KBE, XLI, IYT, ITB, XLP, XLU, IGV, CIBR, VNQ, GLD, BITO",17,0.0087,normal,"rebalance: BITO peso=0.0380 fuera de [0.0510, 0.0910]"
2025-01-31,176916.78,True,85.22,"IWDA.L, IUSN.DE, MCHI, EWT, XLY, XLC, XLF, XLP, XLU, IGV, CIBR, VNQ, GLD, DBA, IEF, TIP, HYG, LQD, EMB, BITO",20,0.0,normal,"rebalance: CIBR peso=0.0289 fuera de [0.0308, 0.0708]"
2025-02-28,174837.47,True,93.51,"IWDA.L, EWJ, IUSN.DE, MCHI, XLY, XLC, XLF, KBE, XLI, XLU, IGV, CIBR, GLD, DBA, HYG, BITO",16,0.0144,normal,"rebalance: BITO peso=0.0718 fuera de [0.0737, 0.1137]"
2025-03-31,169343.28,True,71.75,"IWDA.L, VGK, MCHI, XLY, XLC, XLF, KBE, XLI, XLP, XLU, CIBR, LIT, GLD, DBA, IEF, TIP, HYG, LQD, EMB, BITO",20,0.0,normal,"rebalance: CIBR peso=0.0499 fuera de [0.0654, 0.1054]"
2025-04-30,171293.74,True,82.69,"VGK, EWJ, MCHI, XLC, XLF, KBE, XLE, XLV, XLP, XLU, CIBR, GLD, SLV, DBA, IEF, TIP, HYG, LQD, EMB, BITO",20,0.0,caution,"rebalance: EWJ peso=0.0000 fuera de [0.0044, 0.0444]"
2025-05-30,177903.8,True,91.19,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, INDA, XLC, XLF, XLP, XLU, IGV, CIBR, GLD, DBA, IEF, TIP, HYG, LQD, EMB, BITO",20,0.0,normal,"rebalance: BITO peso=0.1094 fuera de [0.0587, 0.0987]"
2025-06-30,183080.88,True,53.08,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, EWZ, XLC, XLF, XLI, XLP, XLU, CIBR, GLD, DBA, IEF, TIP, HYG, LQD, EMB, BITO",20,0.0,normal,"rebalance: CIBR peso=0.0460 fuera de [0.0467, 0.0867]"
2025-07-31,183516.11,True,98.33,"IWDA.L, VGK, IEMA.L, MCHI, EWZ, EWT, EWY, XLC, XLF, KBE, XLI, XLB, XLP, XLK, IGV, CIBR, GLD, COPX, BITO",19,0.0029,normal,"rebalance: CIBR peso=0.0638 fuera de [0.0100, 0.0500]"
2025-08-29,189167.16,True,121.61,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, EWT, EWY, XLC, XLF, XLI, XLU, XLK, SOXX, GLD, SLV, HYG, EMB, BITO",18,0.0,normal,"rebalance: CIBR peso=0.0292 fuera de [0.0000, 0.0200]"
2025-09-30,199121.68,True,106.61,"IWDA.L, VGK, EWJ, IEMA.L, EWZ, EWY, XLY, XLC, XLF, KBE, XLI, ITB, XLU, XLK, SOXX, LIT, GLD, SLV, COPX",19,0.0,normal,"rebalance: BITO peso=0.0346 fuera de [0.0000, 0.0200]"
2025-10-31,204698.72,True,166.8,"VGK, IEMA.L, MCHI, EWT, EWY, XLY, XLC, XLI, ITB, XBI, XLK, SOXX, IGV, VNQ, LIT, SLV, COPX",17,0.016,normal,"rebalance: COPX peso=0.0289 fuera de [0.0913, 0.1313]"
2025-11-28,206548.25,True,110.9,"IWDA.L, IEMA.L, EWT, EWY, XLC, XLI, ITB, XBI, XLU, XLK, SOXX, LIT, SLV, COPX",14,0.0145,normal,"rebalance: EWY peso=0.0606 fuera de [0.0817, 0.1217]"
2025-12-31,213407.66,True,135.63,"IWDA.L, IEMA.L, EWZ, EWY, XLY, XLC, XLE, XOP, ITB, XLV, XBI, XLU, XLK, SOXX, LIT, GLD, COPX, EMB",18,0.0076,normal,"rebalance: COPX peso=0.1345 fuera de [0.0267, 0.0667]"
2026-01-30,232402.48,True,145.6,"IWDA.L, VGK, EWJ, IEMA.L, EWT, EWY, XLY, XLC, XLF, XLV, XBI, XLK, SOXX, BOTZ, LIT, SLV, COPX, EMB",18,0.0093,normal,"rebalance: BOTZ peso=0.0000 fuera de [0.0033, 0.0433]"
2026-02-27,247368.55,True,152.47,"VGK, EWJ, IEMA.L, EWZ, EWY, KBE, XBI, SOXX, LIT, SLV, COPX",11,0.013,normal,"rebalance: BOTZ peso=0.0229 fuera de [0.0000, 0.0200]"
2026-03-31,227347.19,True,175.14,"VGK, EWJ, IUSN.DE, IEMA.L, EWZ, EWT, EWY, XLE, XLI, IYT, XLB, XLV, XBI, SOXX, BOTZ, VNQ, LIT, GLD, SLV, COPX",20,0.0,normal,"rebalance: COPX peso=0.0896 fuera de [0.0395, 0.0795]"
